Tipo de jornada;Grupo de edad;Decil;Periodo;Total
Total;Total;Total decil;2021;2.086,78
Total;Total;Total decil;2020;2.038,59
Total;Total;Total decil;2019;1.982,31
Total;Total;Total decil;2018;1.944,42
Total;Total;Total decil;2017;1.888,95
Total;Total;Total decil;2016;1.878,09
Total;Total;Total decil;2015;1.893,70
Total;Total;Total decil;2014;1.881,32
Total;Total;Total decil;2013;1.869,11
Total;Total;Total decil;2012;1.850,26
Total;Total;Total decil;2011;1.841,75
Total;Total;Total decil;2010;1.838,82
Total;Total;Total decil;2009;1.815,18
Total;Total;Total decil;2008;1.774,34
Total;Total;Total decil;2007;1.643,46
Total;Total;Total decil;2006;1.572,59
Total;Total;1;2021;570,52
Total;Total;1;2020;521,33
Total;Total;1;2019;532,31
Total;Total;1;2018;479,90
Total;Total;1;2017;464,34
Total;Total;1;2016;462,72
Total;Total;1;2015;420,05
Total;Total;1;2014;411,17
Total;Total;1;2013;414,49
Total;Total;1;2012;425,57
Total;Total;1;2011;464,50
Total;Total;1;2010;482,43
Total;Total;1;2009;495,94
Total;Total;1;2008;501,25
Total;Total;1;2007;501,73
Total;Total;1;2006;474,18
Total;Total;2;2021;1.042,58
Total;Total;2;2020;1.006,63
Total;Total;2;2019;994,51
Total;Total;2;2018;904,87
Total;Total;2;2017;863,90
Total;Total;2;2016;856,88
Total;Total;2;2015;828,96
Total;Total;2;2014;819,61
Total;Total;2;2013;812,18
Total;Total;2;2012;840,19
Total;Total;2;2011;863,82
Total;Total;2;2010;893,11
Total;Total;2;2009;875,93
Total;Total;2;2008;888,73
Total;Total;2;2007;852,21
Total;Total;2;2006;800,67
Total;Total;3;2021;1.267,60
Total;Total;3;2020;1.236,99
Total;Total;3;2019;1.222,45
Total;Total;3;2018;1.156,51
Total;Total;3;2017;1.121,90
Total;Total;3;2016;1.118,31
Total;Total;3;2015;1.102,14
Total;Total;3;2014;1.100,85
Total;Total;3;2013;1.103,32
Total;Total;3;2012;1.121,65
Total;Total;3;2011;1.128,86
Total;Total;3;2010;1.141,96
Total;Total;3;2009;1.120,03
Total;Total;3;2008;1.113,37
Total;Total;3;2007;1.060,66
Total;Total;3;2006;1.006,02
Total;Total;4;2021;1.461,63
Total;Total;4;2020;1.423,40
Total;Total;4;2019;1.418,13
Total;Total;4;2018;1.357,44
Total;Total;4;2017;1.323,00
Total;Total;4;2016;1.325,36
Total;Total;4;2015;1.310,96
Total;Total;4;2014;1.315,48
Total;Total;4;2013;1.318,70
Total;Total;4;2012;1.322,12
Total;Total;4;2011;1.309,99
Total;Total;4;2010;1.316,31
Total;Total;4;2009;1.290,22
Total;Total;4;2008;1.267,34
Total;Total;4;2007;1.203,80
Total;Total;4;2006;1.144,23
Total;Total;5;2021;1.657,27
Total;Total;5;2020;1.606,91
Total;Total;5;2019;1.595,30
Total;Total;5;2018;1.546,73
Total;Total;5;2017;1.497,73
Total;Total;5;2016;1.498,22
Total;Total;5;2015;1.497,67
Total;Total;5;2014;1.502,97
Total;Total;5;2013;1.503,02
Total;Total;5;2012;1.492,68
Total;Total;5;2011;1.484,84
Total;Total;5;2010;1.478,49
Total;Total;5;2009;1.443,59
Total;Total;5;2008;1.411,69
Total;Total;5;2007;1.337,14
Total;Total;5;2006;1.270,35
Total;Total;6;2021;1.874,00
Total;Total;6;2020;1.816,81
Total;Total;6;2019;1.793,56
Total;Total;6;2018;1.752,61
Total;Total;6;2017;1.698,01
Total;Total;6;2016;1.703,87
Total;Total;6;2015;1.703,73
Total;Total;6;2014;1.715,14
Total;Total;6;2013;1.703,65
Total;Total;6;2012;1.685,43
Total;Total;6;2011;1.678,80
Total;Total;6;2010;1.667,40
Total;Total;6;2009;1.627,28
Total;Total;6;2008;1.577,72
Total;Total;6;2007;1.491,60
Total;Total;6;2006;1.418,54
Total;Total;7;2021;2.163,23
Total;Total;7;2020;2.107,38
Total;Total;7;2019;2.058,48
Total;Total;7;2018;2.017,40
Total;Total;7;2017;1.970,29
Total;Total;7;2016;1.969,37
Total;Total;7;2015;1.960,42
Total;Total;7;2014;1.996,68
Total;Total;7;2013;1.979,18
Total;Total;7;2012;1.943,47
Total;Total;7;2011;1.926,53
Total;Total;7;2010;1.916,64
Total;Total;7;2009;1.869,76
Total;Total;7;2008;1.795,61
Total;Total;7;2007;1.703,23
Total;Total;7;2006;1.629,36
Total;Total;8;2021;2.576,34
Total;Total;8;2020;2.541,41
Total;Total;8;2019;2.446,63
Total;Total;8;2018;2.422,04
Total;Total;8;2017;2.363,15
Total;Total;8;2016;2.355,00
Total;Total;8;2015;2.363,55
